chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,Especie
0.84483777,0.286203278,-0.231666322,0.661767161,0.264747235,-0.243220431,1.450219174,0.547090347,-0.136968384,-0.214005222,0.558875358,-0.215494221,0.244526776,0.657515163,-0.345847849,0.176698183,-0.01948904,0.08657752,-0.529040969,-0.297560495,-0.654279991,-0.466538713,-0.508113263,0.20914805,-0.88931641,-0.3960178,Pajaro01
-0.894680975,-0.708982908,-0.419277953,-0.602463521,-0.751977036,0.008525319,0.396290237,0.524732751,-0.902012777,-0.005710374,0.557426289,-0.773687428,-0.046026382,0.857758863,-0.557821333,-0.803172318,0.205141695,0.190716917,-0.565979996,-0.200878518,-0.261169872,-0.269165941,-1.194958876,-0.225034446,-1.019111738,-0.261500495,Pajaro01
0.278962268,-0.740273311,-0.736694914,-0.133417871,-0.713964715,-0.497888759,0.433318114,0.905327788,-0.539011791,-0.372624222,0.330805242,-0.655640594,0.183719972,0.768295016,-0.259589897,-0.095964408,0.303056083,0.165494696,-0.27813895,-0.080667305,-0.661920766,-0.143643742,-0.580768794,0.658682202,-0.63132068,-0.463420428,Pajaro01
1.323102757,-0.774401851,-0.872471995,0.531234313,-0.335972574,-0.930254814,0.157428071,0.972262575,0.138595931,-0.235802752,0.307758698,0.216120449,0.121632442,0.748846875,0.248007139,0.116261444,0.292110645,-0.281811627,-0.500726268,-0.417746135,-1.352823136,-0.532005742,-1.442076203,-0.608554878,-0.680697225,-0.325684273,Pajaro01
0.17469237,-0.678048531,-0.232148788,0.611457601,0.30793855,-0.355778359,0.201185921,0.180339768,-0.986602845,-1.919220799,-1.26174095,-1.679685555,-0.887435237,0.147262708,-0.610055786,0.26240115,-0.059501004,0.842941183,1.020845449,1.073121774,0.158728893,0.516434177,-0.427026241,-0.350212898,-0.24710043,0.562992689,Pajaro01
-1.289382789,0.121130448,0.238631927,-0.033071114,-0.098860191,0.440835168,0.531768965,-0.02166501,0.0088938,0.551310748,0.089219244,0.482614932,0.861665765,0.6258385,1.264783403,-0.121553654,1.481064654,1.531454513,-1.422703207,2.577213784,-0.343375696,-0.646734609,1.974641462,-0.91767156,0.670399794,1.249510762,Pajaro01
0.2075329,-0.749749402,-0.184377251,-0.629322202,-0.483877425,0.279907154,0.091539187,0.294719911,-0.948012745,0.253262715,-0.191040804,-0.833569351,-0.016389419,0.188328966,-0.309919865,-0.260838165,-0.01019741,-0.052696524,-0.61269888,-0.548773199,-0.817644003,-0.582836317,-1.240928031,-0.352442972,-0.696530464,-0.392872688,Pajaro01
0.0942459,-0.776047345,-0.021159437,-0.444269143,-0.264457868,0.361100042,0.196870838,0.376190065,-0.317390237,0.999568833,-0.309005355,0.288611255,0.146404526,0.655065335,0.612774152,0.226829823,0.220150087,0.463928764,-0.727242757,0.098538136,-0.133796993,-0.160214556,-0.543969957,0.633431603,-0.822930862,0.084334444,Pajaro01
-1.088988475,-0.075456205,-0.277566449,-1.878068838,-0.976110962,0.323471842,0.302635687,-0.337889122,-2.341263183,-0.115935323,0.237681846,-1.342714435,0.023575864,-1.380608747,-0.216096715,-1.270614827,0.203487031,0.251230191,-0.604614167,0.550382235,0.25136208,0.61006544,1.273791317,0.212390333,1.508582464,1.103293806,Pajaro01
-0.389548333,-0.034747949,0.332814785,0.478083261,0.511722007,0.366267254,1.156404628,-0.108652318,-0.549482403,-0.26955182,0.481133897,-1.281819363,0.14709842,0.450655777,-0.881583592,-0.600935744,0.453315617,0.07451005,-0.399499757,0.148115806,-0.546028473,-0.125435261,-0.471464893,-0.407905843,-0.841176789,-1.052218313,Pajaro01
